오름명 별칭	위치	비고(m)	표고(m)	경도	위도	설명	주차	화장실	난이도	혼잡도	관리기관	관리자번호	운영시간	쉬는날	이용요금	오름영문명	데이터기준일자
이달봉	"이달오름, 이달이오름, 이달악(二達岳), 이달봉(二達峰)"	제주특별자치도 제주시 애월읍 봉성리	119	488.7	126.348381	33.363838	"비고 119m의 원추형 화구를 지닌 화산체. 둘레 2,015m, 면적 205,204㎡. 예로부터 이달이오름이라 불렀고 한자를 차용해 이달악(二達岳)·이달봉(二達峰)으로 표기했는데, 두 개의 봉우리가 가파르게 솟아 있다는 데서 붙은 것으로 보인다. 동쪽에 새별오름이 이웃하고 서남쪽에는 누운오름·눈오름이 길게 누워 있으며, 북동쪽에는 골프장이 조성되어 있다. 찔레나무·꽝꽝나무·사스레피나무가 자생하고 전 사면에 소나무와 삼나무가 자라며 일부 등성이는 풀밭이다. 평화로 변 봉성 교차로에서 봉성리 쪽으로 2.5km를 가면 기슭에 이르고 정상까지 약 20분 걸린다. 새별오름 주차장에서 오름 입구까지 도보 15~20분이 걸리며 정상에서는 새별오름 분화구를 한눈에 볼 수 있다."	null	null	null	null	null	null	null	null	null	idalbong	2021-11-30
이달이촛대봉	null	제주특별자치도 제주시 애월읍 봉성리	86	456	126.347038	33.366447	"비고 86m의 원추형 화구를 가진 화산체. 이달봉과 쌍둥이 화산체이며, 유난히 봉긋하게 솟은 봉우리 모습을 촛대에 비유하여 명칭하였다. 새별오름·검은들먹오름·다래오름·한대오름·빈내오름·폭낭오름·괴미오름·북돌아진오름·이달봉·가메오름·눈오름·어도오름 등과 함께 애월읍에서 가장 많은 오름을 거느린 봉성리에 속한다."	null	null	null	null	null	null	null	null	null	idari-chotdaebong	2021-11-30
인정오름	이신악(伊信岳)	제주특별자치도 서귀포시 토평동 1952	49	232.5	126.585411	33.283649	"비고 49m의 원형 화구를 지닌 화산체. 서귀포 북동쪽 약 4.5km 지점의 중산간 마을인 토평동에 위치하며, 행정동으로는 영천동 관할이다."	null	null	null	null	null	null	null	null	null	injeong	2021-11-30
자배봉	"자배오름, 망오름, 자배봉(資輩峰), 자배봉(資盃峰)"	제주특별자치도 서귀포시 남원읍 위미리 산143	111	211.3	126.675797	33.299992	"비고 111m의 원형 화구를 지닌 화산체. 둘레 2,829m, 면적 440,293㎡, 저경 816m. 북쪽 정상에는 가시덤불 속에 팽나무(폭낭) 한 그루가 서 있고 그 안쪽으로 넓고 깊은 깔때기형 굼부리가 있다. 비고가 꽤 높지만 중간 능선을 따라 한 바퀴 돌아볼 수 있는 산책로가 잘 정비되어 있다. 과거 정상에 봉수대가 있어 망오름이라고도 불렸으며, 하례리 예촌망(호촌봉수)이 북동쪽으로 자배봉수와 교신했다고 전한다. 남쪽 기슭에는 고좌수 파혈터가 있었으나 지금은 자취 없이 귤밭이 되었고, 관을 뒤집어 하관해 장수가 날 뻔했다가 무덤을 파헤치자 황새가 날아올랐다는 전설이 전해진다. 남원읍 위미리 대성동 중산간도로(국도 16호선)에서 서쪽으로 난 목장 진입로 방면에 고이악이 이웃해 있다."	null	null	null	null	null	null	null	null	null	jabaebong	2021-11-30
제지기오름	"절오름, 절지기오름, 제제기오름, 저즈기오롬, 저적악, 사악(寺岳)"	제주특별자치도 서귀포시 보목동 275-1	85	94.8	126.609947	33.241749	"비고 85m의 원추형 화산체로 전체적으로 삼각형 모양이다. 면적 약 77,023㎡. 조면암질 화산암과 일부 화산쇄설성 퇴적층으로 이루어져 용암 원정구 형태를 띤다. 북면은 완만한 등성이가 여러 갈래로 얕게 패어 있고 남사면은 매우 가파른 벼랑을 이루며 중턱 자연동굴('엉') 안에 바위굴과 절터가 있다. 이 굴에 암자가 있었다 하여 '절오름', 절을 지키는 사람이 살았다 하여 '절지기오름'이라 하던 것이 제지기오름으로 변했다는 설이 전하며 한자로는 사악(寺岳)으로 표기한다. 서쪽에 보목동 마을, 남쪽은 바닷가에 접하며 서남쪽 바다에 섭섬(숲섬), 동남쪽 바다에 직구섬(지귀도)이 있고 섭섬까지는 1km가 채 안 된다. 정상에서 보목리 마을과 서귀포 앞바다가 내려다보인다. 제주올레 6코스가 지난다."	null	null	null	null	null	null	null	null	null	jejigi	2021-11-30
저지오름	"닥몰오름, 닥모루, 새오름, 저지악(楮旨岳)"	제주특별자치도 제주시 한경면 저지리	104	239	126.2509	33.334156	"비고 104m의 원형 화구를 지닌 화산체. 산상의 분화구를 중심으로 어느 쪽 사면이나 경사와 거리가 비슷한 둥근 산체를 이루며, 둘레 약 900m·깊이 약 60m의 매우 가파른 깔때기형 산정 분화구를 갖는다. 각 사면은 해송이 주종을 이루며 잡목과 함께 울창한 숲을 이루고, 분화구 안은 낙엽수림·상록수림의 자연림이나 보리수나무·찔레나무·닥나무가 빽빽해 화구 안 접근은 매우 어렵다. 저지의 옛 이름이 '닥모루(닥몰)'여서 닥몰오름이라 불렸고, 마을 이름이 '저지'가 되면서 저지악(楮旨岳)이라는 한자명이 생겼다. 2005년 생명의숲으로 지정되고 2007년 제8회 아름다운 숲 전국대회에서 대상(생명상)을 받았다. 제주올레 13코스 종점에 위치하며, 둘레길 1.5km는 완만한 숲길이고 그 끝에 정상으로 오르는 계단이 있다. 정상 전망대까지 1.9km·약 45분이 걸리며 전망대에서 한라산을 비롯한 주변 오름들을 한눈에 볼 수 있다. 서북쪽 중턱에는 오름허릿당(할망당)이"										jeoji	2021-11-30
정물오름	"정수악(井水岳), 정수(井水), 정물"	제주특별자치도 제주시 한림읍 금악리 산52-1	151	466.1	126.329353	33.339428	"비고 151m의 말굽형(북서향) 화구를 지닌 화산체. 둘레 2,743m, 면적 494,293㎡. 오름 서쪽 자락(입구 앞쪽)에 '정물샘'이라 부르는 쌍둥이 물통이 있어 이름이 붙었으며 안경샘이라고도 하고 한자로는 정수악(井水岳)으로 표기한다. 예전에는 수량이 풍부하고 맑아 인근 주민의 식수로 쓰였으나 지금은 수질 악화로 농업용수와 마소 음용수로만 이용된다. 서쪽 기슭에 원추형 알오름인 정물알오름이 딸려 있다. 가을철 황금빛 억새가 장관을 이루며, 정상에서 한라산과 주변 오름들을 한눈에 조망할 수 있다. 코스는 오름을 한 바퀴 도는 구조로 계단을 10분 정도 오르면 정상에 닿는다. 주변에 성이시돌목장이 있고 입구 반대편에는 금악 테쉬폰 산책로가 있다. 대중교통은 광평교차로 또는 이시돌하단지 정류장에서 하차해 도보로 접근한다."	TRUE	null	하	null	null	null	null	null	null	jeongmul	2021-11-30
제석오름	null	제주특별자치도 서귀포시 표선면 하천리	48	87.5	126.835685	33.347694	"비고 48m의 원추형 화구를 지닌 화산체. 전 사면에 걸쳐 소나무를 비롯한 잡목들이 숲을 이루며 오름 기슭까지 밀감밭으로 되어 있다. 표선면 하천리의 달산봉(망오름)과 맞붙어 있어 달산봉 정상부에서 제석오름의 일부를 볼 수 있으며, 현지 이정표에도 '달산봉 정상'과 '제석오름 입구'가 함께 안내되어 있다. 동부 일주도로와 번영로가 만나는 표선 교차로 인근에서 성읍리 방면으로 약 1km 진입 후 우측 소로를 따라가면 오름 기슭에 이른다."	null	null	null	null	null	null	null	null	null	jeseok	2021-11-30
지미봉	"지미오름, 지미산(只未山), 지미산(指尾山), 지미악(指尾岳), 지미악(地尾岳), 지미봉(指尾峯), 지미망(指尾望), 종달봉(終達峰)"	제주특별자치도 제주시 구좌읍 종달리 산3-1	160	165.8	126.901497	33.495327	"비고 160m의 말굽형(북향) 화구를 지닌 화산체. 둘레 2,636m, 면적 423,814㎡, 저경 927m. 제주 동쪽 끝에 있어 '땅끝'을 뜻하는 지미(地尾)라는 이름이 붙었다고 전하며, 조선 초기 정상에 봉수를 설치하면서 지미망·지미봉으로 표기되었다. 종달마을 입구 동북 방향에 있고 산 위 등성이는 원뿔 모양의 동쪽 봉우리가 주봉이며 북쪽에서 보면 두 개의 봉우리로 보인다. 식생은 소나무를 비롯한 여러 나무가 자란다. 정상에 지미봉수 터가 남아 있어 남동쪽 성산봉수, 북서쪽 왕가봉수와 교신했고 종달연대·입두연대와도 교신했다. 성산일출봉과 우도, 종달항과 종달리 앞바다를 한눈에 조망할 수 있으며 서북쪽 기슭 하도리 창흥동 양어장 일대는 철새도래지다. 제주올레 21코스가 지나며 전망대와 산책로가 정비되어 있다. 주차장에 지미봉 표석과 안내판이 있고 바로 옆이 탐방로 초입이며, 오르는 데 20~30분 정도 걸린다."	TRUE	null	중	null	null	null	null	null	null	jimibong	2021-11-30
좌보미	"좌보미오름, 좌보미악, 한좌보산(閑佐甫山)"	제주특별자치도 서귀포시 표선면 성읍리 산6	112	342	126.8067627	33.43609516	"비고 112m의 말굽형(남향) 화구를 지닌 화산체. 면적 631,356㎡, 둘레 4,898m. 5개의 큰 봉우리가 서로 연결되어 하나의 기형적 형태의 커다란 산체를 이루며, 큰 봉우리를 좌보미큰오롬이라 하고 그 남쪽에 알오롬·소용메·진??르·염통메·곧은??르 등의 봉우리와 산마루가 있다. 동쪽 정상에서 보면 사면 아래로 작은 원형 분화구 흔적을 가진 둔덕들이 줄지어 있고, 5개 봉우리에 알오름(이류구)을 합하면 봉우리가 13개에 달해 풍수에서 오행을 갖춘 오름이라는 해석도 있다. 서쪽 기슭 백약이오름과의 사이에는 암설류군 언덕들이 산재한다. 대부분 목장지대로 방목 중인 소·말을 볼 수 있고 아래쪽 자락에는 표선면 공동묘지(납골묘)가 있다. 북사면과 주봉 서쪽 사면에는 해송이 조림되어 청미래덩굴 등과 어우러진다. 정상에서 서쪽 백약이오름, 북쪽 동검은이오름, 남쪽 영주산이 조망되며 북쪽 기슭에는 초승달 모양의 월랑지가 있다."	null	null	null	null	null	null	null	null	null	jwabomi	2021-11-30
모구리오름	"모구악(母狗嶽), 모골(毛骨), 모고리(毛古里), 모고악(毛古嶽), 모골악(毛骨嶽)"	제주특별자치도 서귀포시 성산읍 난산리	82	232	126.8284	33.408043	"비고 82m의 말굽형(남동향) 화구를 지닌 화산체. 총면적 202,089㎡, 둘레 2,327m. 남쪽(남동)으로 벌어진 굼부리 안쪽에 알오름을 거느리고 있어 어미 오름이 알오름을 품은 모습 같다는 데서 '어미 모(母)'를 따 모구리오름이라 불린다는 설이 있으나, '모구리'는 제주 고유어로 뜻이 확실하지 않으며 모구악(母狗嶽)으로 쓰고 어미 개의 젖 모양에서 유래했다는 설명은 신빙성 없는 민간 어원설로 본다. 1960년대 이후 식재된 소나무·삼나무가 산체의 대세이고 편백나무 숲길이 탐방로를 따라 이어진다. 북서쪽 능선을 따라 계단을 오른 뒤 굼부리 아래로 내려와 출발점으로 돌아오는 구조이며 왕복 약 30분이 걸린다. 바로 서쪽에 모구리 야영장, 그 너머 서쪽에 영주산이 있고 북쪽에 뒤굽은이오름·궁대오름·좌보미, 동쪽에 나시리오름·유건에오름이 있다. 날씨가 좋으면 정상에서 다랑쉬오름과 용눈이오름까지 보인다."	TRUE	TRUE	하	null	null	null	null	null	null	moguli	2021-11-30
모지오름	"모자오름, 뭇지오름, 모지악(母地岳), 모자악(母子岳), 모자봉"	제주특별자치도 서귀포시 표선면 성읍리 22	86	305.8	126.767769	33.393829	"비고 86m의 말굽형(북동향) 화구를 지닌 화산체. 둘레 3,802m, 면적 535,643㎡. 말굽형 화구 안에 별도의 알오름(화구구)이 솟아 있는 것이 가장 큰 특징으로, 어머니가 아이를 껴안고 있는 형체를 닮았다 하여 모자(母子)오름이라 하던 것이 변형되어 터(地)를 앞세운 모지(母地)오름으로 굳어졌다. 굼부리 안 알오름의 존재에서 명칭이 유래한 까닭에 능선 정상부 주봉 일대는 '에미(어미)동산'으로도 불린다. 모체 바깥쪽 번영로 도로변으로는 새끼오름들이 무리를 지어 있다. 탐방의 묘미는 삼나무 숲을 오른 뒤 화구를 중심으로 정상부 둘레를 돌아보는 것이다."	null	null	null	null	null	null	null	null	null	moji	2021-11-30
무악	"개오름, 믜오름, 무오름, 미오름, 미악(美岳), 무악(戊岳), 무악(舞岳), 술악(戌岳)"	제주특별자치도 서귀포시 안덕면 동광리 산12	126	496.1	126.369118	33.315536	"비고 126m의 화산체. '믜오름'의 '믜다'는 '미다(무이다)'의 옛말로 살이 드러날 정도로 털이 빠진다는 뜻이어서, 나무 없이 맨 땅이 드러날 정도로 헐벗은 오름을 뜻하는 것으로 분석된다. 여기서 변형되어 무오름·미오름이라 부르기도 하고, 오름 모양새가 개가 누워 있는 형태를 닮았다 하여 개오름이라고도 하며 한자로는 戊岳(무악)·美岳(미악)으로 쓴다. 과거에는 나무가 없어 미끈했으나 현재는 숲이 무성하다. 동광 육거리에서 동쪽 방향의 동광 양잠단지 마을 북동쪽에 솟아 있으며, 오름 남쪽에서 정상부로 올라가는 탐방로가 있다. 오름 안 묘비에는 舞岳(무악)으로 새겨진 예도 확인된다."	null	null	null	null	null	null	null	null	null	muak	2021-11-30
명월오름	"밝은오름, 붉은오름, 명월악(明月岳), 명악(明岳), 적악(赤岳)"	제주특별자치도 제주시 한림읍 명월리	39	148.5	126.279259	33.382324	"비고 39m의 말굽형 화산체. 면적 60,359㎡, 둘레 1,083m. 오름과 그 일대가 붉은 송이와 흙으로 덮여 있다는 데서 밝은오름 또는 붉은오름이라 불렀고, 한자를 차용해 명악(明岳) 또는 적악(赤岳)으로 표기했다. 동남쪽에는 나지막한 방지오름(방주오름)이 있다. 애초에 산체가 낮은 데다 오랜 세월 개간과 변화가 이루어져 오름으로서의 매력은 낮은 편이다."	null	null	null	null	null	null	null	null	null	myeongwol	2021-11-30
묘산봉	"괴살메, 괴살미, 괴살뫼, 고살미, 궤살미, 묘산(猫山), 묘악(猫岳), 고산(高山), 화산악(花山岳)"	제주특별자치도 제주시 구좌읍 김녕리 369	81	116.3	126.744804	33.543922	"비고 81m의 말굽형 화구를 지닌 화산체. 일주도로에서 보면 등성이가 고양이 등처럼 구부정하게 굽어 있고, 반대쪽 남쪽(한라산 방향)으로 화구가 벌어진 말굽형이다. 고양이가 누워 있는 모양이라 하여, 또는 고양이가 살았다 하여 괴(고양이의 옛말)+살(살다)+메(山)로 괴살메라 부르고 한자로 묘산(猫山)·묘악(猫岳)·묘산봉(猫山峰)으로 표기한다. 전 사면에 해송이 주종을 이루며 아카시아 등이 덤불과 어우러져 숲을 이루고 그 밑에 백량금·백서향·섬새우난·보춘화가 자생한다. 말굽형 화구 안과 오름 주변은 농경지로 조성되었다. 남쪽 기슭에는 천신·지신에게 마을의 무병과 안녕, 번영을 기원하며 제사를"										myosanbong	2021-11-30
남산봉	"망오름, 남산(南山), 남산봉(南山峰)"	제주특별자치도 서귀포시 성산읍 신풍리	54	178.8	126.810814	33.384289	"비고 54m의 원형 화구를 지닌 나지막한 화산체. 과거 정상에 봉수대가 있어 망(望)오름·남산봉(南山峰)이라 불렸으며, 봉수대 터가 지금도 뚜렷하게 남아 있다. 남산봉수는 1439년(세종 21)에 세워졌고 인근 독자봉의 독자봉수, 달산봉의 달산봉수와 교신했다고 한다. 옛날 이 오름 정상에서 바라보는 바다에 비친 달빛이 장관이어서 '남산명월(南山明月)'이라 하여 정의팔경(旌義八景)의 하나로 꼽았다고 전한다. 신풍리 레포츠공원 옆 소로로 500여 m 진입하면 안내 표지판과 함께 차량 여러 대를 댈 수 있는 넓은 공터가 있고, 소나무 숲 사이 나무계단 탐방로를 350여 m 오르면 정상 둘레길과 만나 좌우 어느 방향으로 돌아도 다시 만나게 된다."	TRUE	null	하	null	null	null	null	null	null	namsanbong	2021-11-30
낭끼오름	"낭곶오름, 낭껏오름, 낭케오름, 남케오름, 남것오름, 남거봉(南擧峰), 남관봉(南冠峰)"	제주특별자치도 서귀포시 성산읍 수산리	40	185.1	126.841972	33.435303	"비고 40m의 원형 화구를 지닌 화산체. '낭끼'의 '낭'은 나무를 뜻하는 제주말이고 '끼'는 초목이 자라나는 들판 또는 일정한 지역·변두리를 뜻한다. 오름 모양새가 갓을 벗어놓은 것 같다 하여 남관봉(南冠峰)으로도 쓰며, 북동쪽 기슭 묘비에는 한글로 '남것오름'이라 새겨져 있어 여러 이름으로 불려왔음을 알 수 있다. 남쪽에서 보면 사다리꼴이고 서쪽에서 보면 산머리가 원뿔형을 띠며 산등성이가 동쪽으로 길게 뻗어 있어, 분류상 원형이나 실제로는 원추형에 가깝다. 북쪽과 남쪽 모두 경사가 완만하다. 정상부에는 좁은 풀밭과 함께 산화경방 초소를 겸한 전망대가 설치되어 있어 비고가 낮아도 전망이 좋은 편이다. 수산리 마을에서 금백조로를 따라 비자림로 방향으로 가는 도중에 있으며, 궁대오름 남쪽 사거리 로터리에서 동쪽으로 약 1.6km, 수산2리 입구 교차로에서 금백조로로 약 3.1km 지점의 북쪽 삼거리에서 남쪽 소로로 약 110m 들어가면 탐방로 진입 지점이다."	null	null	null	null	null	null	null	null	null	nangkki	2021-11-30
넉시악	"넉시오름, 넋이오름, 적이악, 백리악(魄犁岳), 백사악(魄獅岳), 백씨악(魄氏岳), 혼사악(魂師岳), 백악(魄岳), 혼악(魂岳)"	제주특별자치도 서귀포시 남원읍 의귀리 531	56	146.2	126.7146	33.305565	"비고 56m의 말굽형 화구를 지닌 화산체. 둘레 1,416m, 면적 128,854㎡, 저경 498m. 남서~북동으로 다소 평평한 등성마루를 이루고 남동사면으로 골이 패어 내렸으며, 반대쪽 북서사면에 넓고 얕은 굼부리가 벌어졌으나 숲에 덮여 화구라 할 만큼 드러나 보이지는 않는다. 큰비가 내린 뒤 섯내(西川)가 범람할 때 동산을 지나던 송아지가 냇물에 휩쓸려 떠내려가는 것을 보고 어미 소가 넋을 잃었다는 데서 이름이 유래했다고 전하며, 한자로 넋 백(魄)과 얼룩소 리(犁)를 써서 魄犁岳(백리악)으로 표기한다. 비고가 낮아 심한 경사는 없고, 정상부에는 이동통신 기지국이 설치되어 있다. 기슭 아래와 주변은 대부분 밀감밭으로 개간되었으나 사면에는 다양한 잡목이 자라 깊은 숲을 이루고 산책로가 잘 만들어져 있어 의귀리 주민들의 쉼터이자 마을을 수호하는 산체 역할을 한다. 의귀리 중앙동 네거리 남쪽 약 250m 지점, 섯내 건너에 위치한다."	null	null	하	null	null	null	null	null	null	neoksiak	2021-11-30
늡서리	"늡서리오름, 만상봉(晩霜峰)"	제주특별자치도 제주시 조천읍 교래리	59	488.9	126.66494	33.441711	"비고 59m의 말굽형(북동향) 화산체. 면적 115,505㎡, 둘레 1,691m. 화구 내부에는 잡초가 다수 분포하고 화구 외부의 경사진 곳에는 자연림이 무성하게 숲을 이루며 자주괴불주머니가 자생하는 것으로 확인되었다. 이름의 유래는 알 수 없으나, 한자명이 만상봉인 점으로 미루어 '늡서리'를 '늦서리'로 잘못 인식해 한자명을 표기한 것으로 추측된다. 북서쪽에 바농오름, 남쪽에 돔베오름이 있고 동북쪽으로 굼부리가 벌어져 있다."	null	null	null	null	null	null	null	null	null	neubseoli	2021-11-30
높은오름	"노픈오름, 고악(高岳)"	제주특별자치도 제주시 구좌읍 송당리	175	405.3	126.792419	33.457088	"비고 175m의 화산체. 면적 951,657㎡, 둘레 4,318m. 예로부터 주변 오름과 비교해 유난히 높다는 데서 유래한 이름으로, 주변 일대에서 유일하게 고도 400m 이상이며 능선미가 뚜렷하고 주위에 산재한 뭇 오름을 압도하는 느낌을 준다. 정상에는 둘레 약 500m(깊이 약 25m)의 원형 굼부리가 3개의 봉우리를 이으며 위용을 자랑한다. 산등성이 곳곳에 크고 작은 바위가 있고 그 틈새에 사스레피나무와 부처손이, 등성이 일부에는 물매화·미나리아재비·제비꽃·피뿌리풀이 서식한다. 표고가 높아 정상에서 사방을 시원하게 조망할 수 있으며 다랑쉬·거미오름·백약이로 이어지는 북~동~남쪽 조망이 특히 뛰어나고, 경관이 아름다워 패러글라이딩 동호인들도 찾는다. 남쪽·남동쪽에 문서기오름과 동검은이오름, 서남쪽에 압오름(아부오름), 북서쪽에 송당리가 있다. 송당사거리에서 손자봉삼거리 방향으로 가다가 구좌읍공설공원묘지 진입로로 들어가 삼나무숲을 지나면 공동묘지 정면으로 오르는 나무계단이 나온다."	null	null	null	null	null	null	null	null	null	nopeun	2021-11-30
삼매봉	"삼미봉(三美峰), 사모봉(紗帽峰), 새미양, 삼매양악(三每陽岳), 삼매양악(三梅陽岳)"	제주특별자치도 서귀포시 서홍동	104	153	126.54631	33.244247	"비고 104m의 복합형 화구를 지닌 화산체. 세 개의 봉우리가 매화꽃 세 송이가 연달아 있는 모양새라 하여 삼매봉(三梅峰)이라 하며, 아름다운 것이 셋 겹쳐 있다 하여 삼미봉(三美峰), 벼슬아치와 혼례 때 신랑이 쓰던 모자를 닮았다 하여 사모봉(紗帽峰)이라고도 한다. 북쪽 하논의 넓은 굼부리와 북동쪽 솜반내가 모두 물이 많이 솟는 샘이라는 데서 '새미양'이라고도 하며 삼매양(三每陽)으로 표기하기도 한다. 서귀포 시가지 서쪽의 측화산으로 분화구는 북쪽의 하논(마르형 분화구)이며 그 외륜부에 형성된 분석구다. 정상에 남성정(南星亭)이라는 팔각정이"										sammaebong	2021-11-30
생길이오름	"생길이, 생길악, 생기악(生氣岳), 성길악(成吉岳)"	제주특별자치도 서귀포시 남원읍 신례리	65	260	126.642708	33.305759	비고 65m의 말굽형 화구를										sengili	2021-11-30
서걸세	"걸세오름, 걸서악(桀瑞岳), 걸시오름, 걸쇠오름"	제주특별자치도 서귀포시 남원읍 하례리 산124	50	150	126.618401	33.280914	"비고 50m의 원추형 화구를 지닌 화산체. 걸세오름은 두 개의 원추형 화산체로 이루어져 있으며, 마을에서는 남서쪽 봉우리를 서걸세, 북동쪽 봉우리를 동걸세라 부른다. 북동쪽 큰 봉우리(동걸세)는 해발 158m, 남서쪽 작은 봉우리(서걸세)는 해발 150m다. 동걸세는 나지막하나 서걸세 사면은 효례천(효돈천)을 끼고 있어 급사면을 이루며, 효돈천 계곡에 연한 서쪽 사면은 100m 이상 깎아지른 절벽이다. 옆에 딸린 작은 알오름은 '오름새끼'라 부른다. 산 모양이 문을 걸어 잠그는 걸세(걸쇠)를 닮았다 하여 걸세오름이라 한다는 풀이가 주민들 사이에 전하며, 두 계곡 사이에 있는 오름이라는 어원 해석도 있다. 현재 오름 대부분이 일부 숲을 제외하고 기슭에서 중턱까지 온통 감귤밭으로 개간되어 있다. 1960년대까지 절벽이 노출되어 있어 비석 돌을 캐던 자리와 돌 조각을 지금도 볼 수 있다."	null	null	null	null	null	null	null	null	null	seogeolse	2021-11-30
설오름	"설오름(가시리), 골갱이오름"	제주특별자치도 서귀포시 표선면 가시리	98	238	126.769951	33.370998	"비고 98m의 말굽형 화구를 지닌 화산체. 이름의 유래대로 골갱이(호미) 모양을 하고 있어 말굽형임을 쉽게 짐작할 수 있다. 가시리를 통과하는 가마천(보미솟내, 가시천)이 오름 서측 화구를 휘돌아 흐르며, 가시리 마을은 가세오름 북쪽·설오름 남쪽·갑선이오름 서쪽에 걸쳐 집중적으로 형성되어 있다. 탐방로는 남쪽·동쪽·북서쪽 여러 곳에서 시작되며, 동쪽 탐방로는 남쪽 입구를 지나 약 630m 더 가서 작은 내를 건너 표선 배수지가 설치된 지점, 북서쪽 탐방로는 가시리 오거리에서 따라비오름 방향 소로로 약 1.1km 간 뒤 새 도로를 따라 동쪽 약 280m 지점에서 물골을 따라 60m쯤 내려간 곳에서 시작된다. 오름에는 제주도 문화유산인 '가시리 설오름 청주한씨 방묘'가 있다."	null	null	null	null	null	null	null	null	null	seol	2021-11-30
성불오름	"성부람, 성보람, 성불악(成佛岳), 성불암(成佛岩)"	제주특별자치도 제주시 구좌읍 송당리	97	361.7	126.749092	33.423302	"비고 97m의 말굽형 화산체. 면적 380,707㎡, 둘레 2,221m. 등성마루 두 봉우리 사이 골짜기에 샘이 솟는데 이를 성불오름샘·성불천(成佛泉)·성불세미라 한다. 옛날 어떤 스님이 움막을 짓고 기도하다 성불했다는 데서 이름이 붙었다는 설과 정상부 바위가 염불하는 스님을 닮았다는 설이 전하나, '성불'이 한자어 成佛에 대응하는 말인지는 정확히 알려진 바 없고 샘을 뜻하는 옛말에서 왔다는 견해도 있다. 고려시대 창건되어 약 500년간 부처를 모셨다는 성불암 터가 있으며, 『탐라지』는 정의현 부근에서 오로지 이 오름에만 샘이 난다고 기록했다. 성불천은 정의현성 성읍 주민과 장기동(현 대천동) 사람들의 급수원이었고 지금도 매설된 수도관을 볼 수 있다. 서남쪽에 감은이오름, 동북쪽에 비치미오름이 있으며 탐방로 정비가 잘 되어 있다."	null	null	null	null	null	null	null	null	null	seongbul	2021-11-30
섯알오름	서알오름	제주특별자치도 서귀포시 대정읍 상모리	21	40	126.281504	33.20594	"비고 21m의 말굽형(서향) 화구를 지닌 작은 화산체. 둘레 704m. 송악산 응회환 외륜 북쪽에 자리한 세 개의 알오름(동알·셋알·섯알) 중 하나로, 셋알오름의 서편에 있다 하여 '서+알오름'이라 부르던 것이 사이시옷 현상을 거쳐 섯알오름이 되었다. 일본군이 1944년 말부터 알뜨르 지역을 군사요새화하는 과정에서 야트막한 오름 내부를 파내 폭탄(탄약) 창고로 사용했고 정상부에는 고각포진지 2기를 구축했으며, 이 창고 터는 일제 패망 후 미군에 의해 폭파되었다. 1950년 한국전쟁 발발 후 예비검속으로 붙잡힌 주민들이 이곳에서 집단학살·암매장되었고 희생자는 212명(자료에 따라 252명)에 이르며, 1956년 수습된 유해 중 132위가 상모리 '백조일손지지'에, 61위가 한림읍 명월리 개꼬리오름에 안장되었다. 제주도 내에서 당시 상황을 보여주는 유일한 학살터로 알뜨르비행장 일대와 함께 대표적인 다크투어리즘 현장이다."	null	null	null	null	null	null	null	null	null	seot-al	2021-11-30
서우봉	"서모오름, 서모봉, 서모름, 서도, 망오름, 서산(西山), 서산악, 서산망, 서산봉, 서우봉(犀牛峰)"	제주특별자치도 제주시 조천읍 함덕리 169-1	106	111	126.677505	33.54575	"비고 106m의 원추형 화산체. 둘레 3,493m, 면적 835,758㎡, 폭 1,284m로 완만한 등성이가 북·남 두 봉우리를 이룬다. 용암 바위가 노출된 남쪽 봉우리는 '남서모', 송이로 된 분석구인 북쪽 봉우리는 서산봉수가 있어 '망오름'이라 불린다. 조선시대 북쪽 봉우리에 봉수를 설치하면서 서산봉이라 하였고 조선 후기부터 서우봉(犀牛峰)으로도 불렸는데, 물소가 바다에서 올라오는 형상이라는 데서 유래했다고 전한다. 함덕해수욕장 동쪽에 맞닿아 있어 정상에서 함덕리 전체와 해변, 한라산까지 조망되며 정상부에 해송이 조림되고 등성이에 유채꽃이 핀다. 1273년 김방경이 이끄는 여몽연합군과 삼별초군의 전투가 벌어진 곳으로 전하며, 해안 절벽을 따라 일제강점기 일본 해군이 구축한 동굴진지가 19~23기 남아 있어 2006년 국가등록문화재 제309호로 지정되었다. 서우봉 둘레길은 총 2,550m(제1숲길 960m·제2숲길 500m·제3숲길 200m 등)로 경사가 완만한 흙길이며 약 1시간이 걸리고 제주올레 19코스에 포함된다. 함덕리 주최로 매년 초 서우봉 일출제가 열린다."	null	null	하	null	null	null	null	null	null	seoubong	2021-11-30
새신오름	신서악(新西岳)	제주특별자치도 제주시 한경면 청수리	41	141.2	126.238441	33.297661	"비고 41m의 원형 화산체. 한경면 산양리 북동쪽에 위치하며, 산양리라는 마을 이름이 이 오름(신서악)의 남쪽이라는 뜻에서 왔다고 추정되기도 한다. 청수리 일대의 가마오름·이계오름·굽은오름 등과 마찬가지로 일제강점기 일본군 갱도진지가 구축된 것이 확인된다."	null	null	null	null	null	null	null	null	null	sesin	2021-11-30
